Tweet,Clasificacion
Yo no voy a votar por @Claudiashein Asi de simple: ...NO ME CAE BIEN...,0
"no voy con Claudia, debieron elegir otro candidato.",0
"Y la unica #Cogupta seleccionada con una encuesta amanada y posterior a que el presidente la posicionara entre la gente como su candidata es ella, la Cheimbaum. ",0
No vamos a votar por un titere AMLO y del globalismo.,0
Claudia jamas sera presidente. Ni siquiera en el remoto caso que ganara. Ni Judas ni dedos.,0
Esa desabrida de la Shitbaum no ganara ni en tus suenos lapicin,0
"No se preocupen la titina no ganara la presidencia por corrupta, asecin y para eso no voten por ella",0
No a ganado nada ni ganara la proxima presidenta de Mexico sera la doctora @Claudiashein ,0
"Proyecto de destruccion No se los permitiremos Fuera Amlo, Claudia y Morena",0
"#Cogupta, la cinica,criminal, corrupta piensa que sus perros del bienestar nos haran cambiar de que ella es la miserable palera de @lopezobrador_, ademas impuesta por fraude, @Claudiashein nunca vas a llegar a palacio nacional, nunca.",0
"Claudiashein Repartansela  o rifenla y quedense  con ella, millones  de mexicanos  la repudiamos NO SERA PRESIDENTA  !!  hagan  trampas, manas, porquerias , lo que hagan sabiendo  lo cochino que son...NO LLEGARA !!EL PUEBLO, LOS MEXICANOS  YA DESPERTAMOS  !!MORENA...DESTRUCCION !!",0
"Es una mentirosa, igual que su patron #Linea9 #ClaudiaSheinbaum 
https://t.co/377eN29yvX",0
Asi las tramposa de CLAUDIA SHEINBAUM,0
"@LauraBruges Claudia Sheinbaum siempre es omisa a las necesidades de la gente cuando ha estado gobernando.
Es negligente y muy corrupta.
#ALasPruebasMeRemito 
#ClaudiaNoEsLaRespuesta",0
"Si, yo me robe el presupuesto de la cd de Mexico para mi campana presidencial, pero a mi no me reclamen nada, yo ya no soy jefa de gobierno

""Claudia Sheinbaum""",0
Lo que mas me da miedo es que Claudia Sheinbaum sea la Candidata a la presidencia por Morena ,0
"No VOTAR POR CLAUDIA SHEINBAUM, FAVOR DE DIFUNDIR",0
Por esto y mas no votar por CLAUDIA SHEINBAUM.,0
@FreddyOliviery @XochitlGalvez NO HAY QUE VOTAR POR CLAUDIA SHEINBAUM DEJO UN DESASTRE EN LA CDMX CON ESTAS CIFRAS  DA MIEDO https://t.co/kfkeBSL0Fk,0
"Llama Claudia Lizaldi, conductora de Master Chef Mexico, a no votar por Claudia Sheinbaum https://t.co/ubF4vzY2vB",0
No votar por CLAUDIA SHEINBAUM,0
"@emilozve @huichis_mx @lopezobrador_ CLAUDIA SHEINBAUM. es TRAIDORA siempre lo ha sido, PERTENECE al gpo. Del NEOLIBERALISMO y su JEFE ES SOROS. NO VOTAR Y PROMOVER EL NO VOTAR PIR CLAUDIA SHEINBAUM .",0
@Unbogo @SoyLyn05 @PartidoMorenaMx Pues ahora PROMOVER NO VOTAR POR CLAUDIA SHEINBAUM.,0
"No pienso votar por alguien que representa fielmente el Priismo como Claudia sheinbaum.

Satisfecho estoy con el trabajo de Amlo y prefiero abstenerme de votar, a final de cuentas la derecha regresa con ella.

Si asi sucede tendriamos otro presidente espurio. 

Paso.",0
No votar por Claudia Sheinbaum es lo que se deberia hacer. No lo permitan,0
ALERTA NO VOTAR POR CLAUDIA SHEINBAUM PARA PRESIDENCIA,0
@taller2006 Difundamos Vero y pedir NO VOTAR PIR CLAUDIA SHEINBAUM. EMPIEZO,0
No VOTAR POR LA TRAIDORA CLAUDIA SHEINBAUM,0
No pienso votar por Claudia Sheinbaum Pardo (@claudiashein). En Israel tiene muchas posibilidades de ser presidenta.,0
"Y de entre todas las razones que yo encuentro para no votar por #ClaudiaSheinbaum, la que me dijeron los morenistas no lo esperaba, parece que su gran pecado es que #AlfredoJalife la acuso de Sionista.",0
"@juanbaaq Wow un servidor publico jugando Volley 
Voy a votar por claudia sheinbaum 

- nadie -",0
"Claudia Sheinbaum Pardo (@claudiashein) deberia estar en la carcel, no de campana. Tengo claro que no voy a votar por Claudia. Que se retire de la contienda:",0
"Por favor, por favor, por favor, en serio, no vayan a votar por Claudia Sheinbaum. Se los pido POR FAVOR. Si se puede caer mas bajo",0
"@mario_dico50 @Claudiashein Y no voy a votar por Claudia Sheinbaum, pero que pendejada estar discutiendo si es mexicana o no...",0
"@jorgesuarezv @XochitlGalvez @Claudiashein @lopezobrador_ Seria irracional votar por esta 
Claudia sheinbaum presidenta https://t.co/iCgxDk1pGD",0
"""Claudia Sheinbaum nos va a arreglar el problema, hay que votar por ella para presidenta"" 

Si Juan Pedro, no ha podido arreglar los problemas de su estado en casi 6 anos, seguro arregla su problema (que ni es problema, dejen de hacer berrinche) de un rancho que ni voltea a ver",0
"todxs estamos de acuerdo de que no debemos votar por  Claudia Sheinbaum, vdd?",0
"Claudia Sheinbaum se va y deja un soberbio desmadre en toda la Ciudad de Mexico...
Ojala esta senora no sea la siguiente candidata y presidenta, no tiene capacidad alguna y es bastante autoritaria, un tristeza saber que en algun momento crei que votar por ella fue lo mejor.",0
No voy a votar por Claudia Sheinbaum Pardo (@claudiashein) seria como votar por la version femenina de Carlos Salinas de Gortari:,0
Hay que estar muy pndjo pa votar por esa Claudia sheinbaum ,0
"Necesita usted otra razon para no votar por Claudia Sheinbaum

Aqui la tiene 

De todos modos, #NoSirveDeNada",0
@El_Universal_Mx Una razon mas para NO VOTAR POR Claudia Sheinbaum.,0
"@El_Universal_Mx Otra razon mas para NO votar por Claudia Sheinbaum 
Par de corruptos.",0
"@alvaro_delgado @Claudiashein @OHarfuch No lo puedo creer, otra vez rompio mis ilusiones. Ya no voy a votar por ella.

El Gob de Claudia Sheinbaum no seria capaz, en su tiktok dice que nos va a proteger. https://t.co/O9f529bZdZ",0
nadie deberia de votar por claudia sheinbaum,0
"Otra Razon mas para no votar por Claudia Sheinbaum. Esta dona de personalidad falsa, gris y pretenciosa ni es presidenta y ya quiere tirar a la basura el proyecto soberanista de AMLO para traer de vuelta el sistema podrido y fallido que nos ha dejado puras desgracias.",0
"No VOTAR POR CLAUDIA SHEINBAUM, FAVOR DE DIFUNDIR",0
Por esto y mas no votar por CLAUDIA SHEINBAUM.,0
@FreddyOliviery @XochitlGalvez NO HAY QUE VOTAR POR CLAUDIA SHEINBAUM DEJO UN DESASTRE EN LA CDMX CON ESTAS CIFRAS  DA MIEDO https://t.co/kfkeBSL0Fk,0
"Votar por Claudia Sheinbaum es votar por el regreso del panismo mas calderonista,  es votar por el Morena mas corrupto que se vende a costa de seguir en el poder en el 24.
Claudia esta prometiendo cargos y privilegios ; la prueba esta en quienes la defienden y quienes le otorgan lugar estelar; en quienes usan a la gente que tiene acceso a los programas sociales... los que menos tienen.
#NoALaImposicion",0
No votar por CLAUDIA SHEINBAUM,0
@emilozve @huichis_mx @lopezobrador_ Con No Votar con CLAUDIA SHEINBAUM le arruinamos sus deseos de PRESIDENTE.,0
"@emilozve @huichis_mx @lopezobrador_ CLAUDIA SHEINBAUM. es TRAIDORA siempre lo ha sido, PERTENECE al gpo. Del NEOLIBERALISMO y su JEFE ES SOROS. NO VOTAR Y PROMOVER EL NO VOTAR PIR CLAUDIA SHEINBAUM .",0
@Unbogo @SoyLyn05 @PartidoMorenaMx Pues ahora PROMOVER NO VOTAR POR CLAUDIA SHEINBAUM.,0
"No pienso votar por alguien que representa fielmente el Priismo como Claudia sheinbaum.

Satisfecho estoy con el trabajo de Amlo y prefiero abstenerme de votar, a final de cuentas la derecha regresa con ella.

Si asi sucede tendriamos otro presidente espurio. 

Paso.",0
No votar por Claudia Sheinbaum es lo que se deberia hacer. No lo permitan,0
"Votar por Claudia Sheinbaum seria un terrible error de los mexicanos. 

Ya vimos como dejo CDMX, ?que nos esperaria para nuestro pais?",0
ALERTA NO VOTAR POR CLAUDIA SHEINBAUM PARA PRESIDENCIA,0
@taller2006 Difundamos Vero y pedir NO VOTAR PIR CLAUDIA SHEINBAUM. EMPIEZO,0
No VOTAR POR LA TRAIDORA CLAUDIA SHEINBAUM,0
"Claudia Sheinbaum Pardo (@claudiashein) deberia estar en la carcel, no de campana. Tengo claro que no voy a votar por Claudia. Que se retire de la contienda:",0
@alvaro_delgado @XochitlGalvez @vromog Otra razon para no votar por claudia sheinbaum quien encubre las corruptelas de la xochil y apoyar a #MejorMarcelo,0
"Por favor, por favor, por favor, en serio, no vayan a votar por Claudia Sheinbaum. Se los pido POR FAVOR. Si se puede caer mas bajo",0
Estan viendo lo tonta y ridicula que es Claudia Sheinbaum y aun asi van a querer votar por ella me lleva la chingada,0
"SI PIENSAN QUE EL PUEBLO VA A VOTAR POR CLAUDIA SHEINBAUM ESTAN MAL DE LA CABEZA, ESTA SENORA QUE NO TIENE LA CAPACIDAD NI PARA HABLAR, MUCHO MENOS PARA DIRIGIR UN PAIS! OJALA LOS AMLOVERS NO SE DEJEN ENGANAR Y VOTEN POR OTRAS OPCIONES MUCHO MEJORES QUE TENEMOS!",0
"De verdad no entiendo a la gente que piensa votar por Claudia Sheinbaum , no le cabe en la cabeza",0
No voy a votar por Claudia Sheinbaum Pardo (@claudiashein) seria como votar por la version femenina de Carlos Salinas de Gortari:,0
Votar por Claudia Sheinbaum es odiar a Mexico.,0
@El_Universal_Mx Una razon mas para NO VOTAR POR Claudia Sheinbaum.,0
"@El_Universal_Mx Otra razon mas para NO votar por Claudia Sheinbaum 
Par de corruptos.",0
nadie deberia de votar por claudia sheinbaum,0
"Otra Razon mas para no votar por Claudia Sheinbaum. Esta dona de personalidad falsa, gris y pretenciosa ni es presidenta y ya quiere tirar a la basura el proyecto soberanista de AMLO para traer de vuelta el sistema podrido y fallido que nos ha dejado puras desgracias.",0
"No VOTAR POR CLAUDIA SHEINBAUM, FAVOR DE DIFUNDIR",0
Por esto y mas no votar por CLAUDIA SHEINBAUM.,0
@FreddyOliviery @XochitlGalvez NO HAY QUE VOTAR POR CLAUDIA SHEINBAUM DEJO UN DESASTRE EN LA CDMX CON ESTAS CIFRAS  DA MIEDO https://t.co/kfkeBSL0Fk,0
"Votar por Claudia Sheinbaum es votar por el regreso del panismo mas calderonista,  es votar por el Morena mas corrupto que se vende a costa de seguir en el poder en el 24.
Claudia esta prometiendo cargos y privilegios ; la prueba esta en quienes la defienden y quienes le otorgan lugar estelar; en quienes usan a la gente que tiene acceso a los programas sociales... los que menos tienen.
#NoALaImposicion",0
"ni sueñes con ser Presidenta, a lo mejor solo de tu colonia, cochitl",0
Tu casa contra mi casa perro y no verás presidenta a Xochitl,0
"Y todavía quiere ser presidenta, no memen esa botarga no tiene vergüenza, cinica.",0
"Vulgar, corriente y naca. Y así quieres ser presidenta? ",0
Quien en su sano juicio va votar por esta payasa rata igual que tú inútil de mierda,0
"XochitlGalvez eres una mediocre corrupta y ladrona. No ganarás y no mamaras del erario, apestas a corrupción.",0
"Eres una mujer corrupta como lo que representas al PRIAN, no deberías ni siquiera competir por tu falta de honestidad, no ganarás y ya no serás nada en la política mexicana.",0
NUNCA GANARAS!!! No arruinaras los planes de millones de Mexicanos!!,0
"No lo privatizaras ,porque no ganarás pinche gorda vende gelatinas,solo eres la gata del Claudio x,una empleada.",0
"Corrupta mentirosa, no solo no ganarás nada, irás a prisión.",0
Tu me das asco Xochitl no cuentes con mi boto hablas puras idioteces eres una pendeja al decir que si ganarás la presidencia dejaras que agan una intervención por parte de EU estás tonta o qué viva amlo y que VIVA MÉXICO,0
"Sabes contar, con México no cuentes no queremos una Corrupta, Rata, Vulgar y Corriente en la presidencia Xochitl Gálvez no ganarás nada.",0
Ni en tus sueños ganarás ya te sacaron tus trapitos al sol,0
"XochitlGalvez eres una mediocre corrupta y ladrona. No ganarás y no mamaras del erario, apestas a corrupción.",0
"Eres una mujer corrupta como lo que representas al PRIAN, no deberías ni siquiera competir por tu falta de honestidad, no ganarás y ya no serás nada en la política mexicana.",0
"XochitlGalvez la CINICA, VULGAR, HIPOCRITA, QUE NO TIENE PRESENCIA, LA CIRQUERA QUE YA SE CREE PRESIDENTA. SU CAIDA SERA ESTREPITOSA, NO LEVANTA LA CORRUPTA INGE'ÑERA QUE REPRESENTA MUY BIEN A LOS #PRIANDEJOS ESTA BOTARGA GELATINOSA NUNCA GANARA !",0
Jamás ganará la señora x.,0
Yo no voy a votar por Xóchitl,0
"Sueño que no vas a llegar a ser presidenta, nk te ilusiones, pinche adefesio.",0
Yo quiero a Xóchitl Gálvez como presidenta 2024. #XochitlVa,0
"Y solo sucederá en tus sueños, nunca serás presidenta. Eres una hipócrita, corrupta y ridícula ",0
Seguirás soñando porque no serás presidenta de México,0
Jajaja vieja corrupta ladrona y ridícula que bueno que usted no será presidenta de México,0
"Estás pendeja, ni en tus mejores sueños vas a llegar a ser PRESIDENTA JAJAJAJAJAJAJA",0
Qué bueno que no serás presidenta jajajaja,0
Ni en tus sueño seras Presidenta serias una verguenza para Mexico.,0
"Hagas lo que hagas no ganarás cogupta, no puedes hablar bien con esa dentadura, menos sabrás gobernar nada.",0
"COCHIL GALVEZ, RATA ASQUEROSA, NO GANARAS SOLO HACES CUIRCO ENADA POR TUS PATRONES RATOTAS IGUAL QUE TU",0
Cochill ya ríndete no ganarás entiendes entiendes no ganarás,0
"Por más vuelo que le des no ganarás más simpatías, estás en el límite de las preferencias",0
"Qué asco, la Botarga. No ganarás la elección, eres un títere de Claudio Xoconoztle González",0
"no te engañes, no ganarás",0
"Ya wey , no te darán ni madres y no ganarás",0
Jaja hagas lo que hagas no ganarás,0
Cálmate Cogupta esas mentiras ni tu te las crees juasss,0
Eres una #Cogupta El pueblo de México no te quiere,0
Qué bueno que no serás presidenta jajajaja,0
Seguirás soñando porque no serás presidenta de México,0
Traidora y ridícula hagas lo que hagas no serás presidenta.,0
"No botarga, tú no estarás en Palacio Nacional ni mucho menos serás presidenta de Méxic",0
No serás presidenta! Entiende de una vez,0
Ridícula cada vez a la baja no serás Presidenta si alguendera mejor aclara tu actos de corrupción.,0
@XochitlGalvez Inepta mediocre. Jamas ganaras,0
@XochitlGalvez Sinverguenza corrupta nunca seras la presidenta de este pais nunca jamas,0
"La neta jamas en la vida votaria por un ser tan despreciable @XochitlGalvez, pero parece que es la unica posibilidad de sacar a Morena, es un mal un poco menos peor",0
"@XochitlGalvez Sigue Aspirando,  DESINFLADA INDIGENA, JAMAS LLEGARAN  A GOBERNAR ESTE PAIS. LOS TRAIDORES PRIANISTAS. Nunca volveran. Punto",0
"@abdulachik @XochitlGalvez Ni lo suenes, esa #BotargaCorruptaX jamas sera Presidenta de Mexico",0
@XochitlGalvez @Xochitl__Va Jamas va ser presidenta de Mexico jajajajajaj,0
@XochitlGalvez La botarga Xochitl Galvez y la dinosaurio Beatriz Paredes por cual irle a ninguna estas corruptas y saqueadoras y de partidos PRIAN corruptos ligados al narco vende patrias jamas llegaran a la presidencia,0
"@XochitlGalvez No votaria por ti jamas, eres inepta, ridicula, falsa, mentirosa y Mexico entero tambien te odia",0
@XochitlGalvez Entiende botarga jamas seras presidenta,0
@XochitlGalvez Jamas seras Presidenta de nuestro Pais. Corrupta.,0
@ryo_hermoso @XochitlGalvez Jamas votaria por esa mujer,0
"@AngMariscal4T @XochitlGalvez Tecnocratas o tecnoratas que afectaron a nuestro pais despojaron a generaciones de mexicanos ,@Xochitl2024  la corrupta @XochitlGalvez  nunca sera Presidente jamas  lo permitiremos",0
@ryo_hermoso @XochitlGalvez Esa zopilota de la x0ch17l nunca sera presidenta jamas,0
"@XochitlGalvez Suenos son los que tienes, jamas vas a ser presidenta, asquerosa COCHIL.",0
@XochitlGalvez @SantiagoCreelM Yo jamas votare x una francesa,0
"@XochitlGalvez Es muy simple CAES MAL, ERES LA CANDIDATA MAS ANTIPATICA QUE A EXISTIDO, JAMAS VOTARIA POR ALGUIEN COMO TU !!!",0
"@XochitlGalvez No se quien con un poco de cerebro  votaria por esta senora, yo jamas lo haria!!",0
@doloressoledad9 @XochitlGalvez La corrupta Botarga jamas sera presidenta.Te lo aseguro.,0
"@XochitlGalvez Tu eres la destruccion de pacotilla ,inepta,lepera ,alburera ,jamas seras presidente nunca ,no lo permitiremos 50 millones  de mexicanos",0
@XochitlGalvez Jamas votaria por ti Botarga Ridicula.,0
@AngelNa03851722 @XochitlGalvez TE GARANTIZO QUE XOCHITL JAMAS SERA PRESIDENTA.,0
@SantiagoCreelM @XochitlGalvez  nunca jamas seras presidente  no te queda mas que obedecer a tus patrones  https://t.co/TSG8R4Ftcg,0
"@XochitlGalvez Que pen... es esta senora,  jamas jamas ganara",0
@XochitlGalvez Jamas votaria por una Ingeniera pendeja en matematicas,0
"@XochitlGalvez  por q no hablas de esto? Tu, una payasa con aires de grandeza, jamas, lee muy bien, jamaasss seras Presidenta de este pais, representas lo q los mexicanos odiamos, eres la corrupcion en botarga #ClaudiaArrasa  #ClaudiaSheinbaumPresidenta",0
"@XochitlGalvez @SantiagoCreelM Jamas votaria por ti, eres una TITERE",0
"@XochitlGalvez Mejor vete a banar y a hacer algo q valga la pena, no seras presidente jamas",0
@arqjauregui @XochitlGalvez Esa botarga jamas sera presidenta,0
"@Reforma @XochitlGalvez Esta senora es corrupta y quiere las instituciones a si favor  y las de sus amigos, jamas regresara la oposicion a la presidencia, bola de corruptos, rateros y vividores.",0
"@lopezdoriga @SantiagoCreelM @XochitlGalvez SI PERO JAMAS LE GANARAN A MORENA, ES MAS PAQUE TE CUENTO!",0
"@kenialopezr @SantiagoCreelM @XochitlGalvez Ni en tus mas humedos suenos van a ganar la presidencia, entiendalo y acostumbrense. Ustedes jamas van a regresar ",0
@ryo_hermoso @XochitlGalvez NUNCA JAMAS UNA BOTARGA,0
@raespi @abrahamvanaya @CiroGomezL @lopezobrador_ @XochitlGalvez @Claudiashein @m_ebrard @adan_augusto Jajaja esta vieja tan vulgar y pendeja para hablar jamas sera presidenta. https://t.co/fmMHbb2uua,0
"@edelamadrid @XochitlGalvez Ni las manos metiste , que verguenza,  cochitl jamas ganara y lo sabes , se van estos partidos PRIANRD",0
@JJDiazMachuca @XochitlGalvez @MauricioCollado Reuniones de pacotilla la botarga ratera jamas ganara,0
@XochitlGalvez Una hermana de secuestradora jamas sera presidente!,0
"@ryo_hermoso @XochitlGalvez Pogque Pogque, yo nunca jamas votaria por esta traficante de influencias y corrupta tartamuda.",0
@DuroDDesmotivar @epigmenioibarra @g_quadri @GmoSheridan @fmartinmoreno @VicenteFoxQue @XochitlGalvez Asi sera!! Jamas volveran a gobernar!!,0
@aracelibs @XochitlGalvez Jajajajajajaja la botarga jamas sera presidenta entiendan! No tiene nada para que lo sea en fin jajajaja,0
"@XochitlGalvez La marrana !jamas sera presidente, JAMAS!",0
@XochitlGalvez Botarga corrupta ratera cinica jamas jamas seras presidenta el reclusorio femenil te esta esperando para que vallas a vender tus gelatinas jajajaja,0
@XochitlGalvez @FGRMexico @CiroGomezL Botarga corrupta ratera cinica jamas jamas seras presidenta el reclusorio femenil te esta esperando para que vallas a vender tus gelatinas jajajaja,0
@Anaro74 @XochitlGalvez Pienso igual!! Jamas me imagine que se iban a sacar de la manga a un personaje tan siniestro como paredes!!! Definitivamente jamas podria ganar!!!,0
"@XochitlGalvez Senora  X disculpe usted no sabe nada, de nada, solo anda gastando dinero del SENOR X y del pueblo, ademas jamas ganara la eleccion 2024, en el supuesto.",0
@XochitlGalvez Jamas votaria por esta persona xochil vulgar y sinverguenzas,0
"@LunaGilVent @XochitlGalvez Jamas votaria por el PAN, ademas,  su discurso no ha unificado por el contrario.",0
"@antigansoganso @XochitlGalvez .... Lo vulgar y corriente no se le quitara nunca jamas!! Ademas es una inculta e ignorante, bueno ni sumar  sabe!!!",0
"@ryo_hermoso @XochitlGalvez Jajajaja que ridiculez ryo, la botarga Galvez jamas llenara esa silla, le queda muy grande, una mentirosa y corrupta como ella seria lo mas vergonzante y tragico que le pudiera ocurrir a nuestro pais, ya sufrimos mucho con los gobiernos prianistas, no mas corruptos al poder!",0
"@XochitlGalvez Bola de rateros, si deberas quisieran a Mexico, primero deberian pedir perdon y despues a la cuenta de 3 salir corriendo y NO volver jamas!",0
@desert__fox Jamas votaria por ese tipejo. Ni por la botarga Corrupta @XochitlGalvez #NiUnVotoAlPRIANRDMC,0
@ryo_hermoso @XochitlGalvez Jajajajajaj yo jamas votaria por esta idiota botarga galvez https://t.co/jdNPpMoU5Q,0
@XochitlGalvez Jamas votaria por una coggupta,0
@Luis22373580 @GlodeJo07 @rocionahle @XochitlGalvez Jajaja Xochitl jamas va a ser presidente es una marrana ignorante y ratera,0
"@epigmenioibarra Sigue sonando, la corrupta, mentirosa y manipuladora @XochitlGalvez JAMAS sera presidenta, ",0
@ryo_hermoso @XochitlGalvez esa marrana asquerosa no sera presidenta,0
@XochitlGalvez Sinverguenza corrupta nunca seras la presidenta de este pais nunca jamas,0
"@abdulachik @XochitlGalvez Ni lo suenes, esa #BotargaCorruptaX jamas sera Presidenta de Mexico",0
@XochitlGalvez Ni en tus suenos seras presidenta ..mexico esta despierto y cansado de gente como tu .mentirosa y corrupta ..quieres seguir mamando quieres mas contrato millonarios,0
@XochitlGalvez YA CALLATE RATERA NUNCA SERAS PRESIDENTA DEL DICHO AL HECHO HAY MUCHO TRECHO HAY TE MANDO UNA FOTO DE TU AMIGO DEL PASADO IGUALITO A TI Y LO QUE QUIERES QUE REGRESEN LAS HAY TE VA https://t.co/ijFT3JIVz3,0
@AngMariscal4T @XochitlGalvez Esta es la estupida de XOCHITL que quieren de presidenta con estos ratotas,0
"@ryo_hermoso @XochitlGalvez La Dinosauria y vividora con trafico de influencia jamas sera presidenta, ya se van a revisar sus contratos con el @INAImexico  y los otros se le va a caer el teatro de las gelatina. Jejeje",0
@XochitlGalvez @Xochitl__Va Jamas va ser presidenta de Mexico jajajajajaj,0
@XochitlGalvez Entiende botarga jamas seras presidenta,0
@XochitlGalvez Jajajajaja y mas jajajajajaja una botarga desleal para presidenta de la Republica mexicana no gracias,0
"@elvigilante007_ @pedroferriz3 @XochitlGalvez No importa lo que haya dicho, esa botarga indigena y ratera no sera presidenta, solo representa a una minoria rapaz que solo quiere regresar para seguir saqueando al pais.",0
@XochitlGalvez Jamas seras Presidenta de nuestro Pais. Corrupta.,0
@XochitlGalvez No pues si aparte de mentirosa revoltosa . xochilth Galvez ya bajate de su nube usted nunca sera presidenta por corrupta  y rata ok,0
"@NachoRgz @XochitlGalvez Xochil es corrupta por enriquecimiento ilegitimo y tambien una clasista, lo peor que nos puede pasar es tenerla como presidenta.",0
@ryo_hermoso @XochitlGalvez Esa zopilota de la x0ch17l nunca sera presidenta jamas,0
@XochitlGalvez ESA RATA CORRUPTA NO SERA PRESIDENTA. VASTA DE ESTAR APOYANDO A DELINCUENTES.,0
"@XochitlGalvez Suenos son los que tienes, jamas vas a ser presidenta, asquerosa COCHIL.",0
@XochitlGalvez @SCJN Con corruptos  ni a la esquina... La Galvez no sera presidenta... fuera ratas https://t.co/PnvVZGqiEY,0
@doloressoledad9 @XochitlGalvez La corrupta Botarga jamas sera presidenta.Te lo aseguro.,0
"@XochitlGalvez Que bueno que no seras presidenta, la mentira es tu virtud!",0
@XochitlGalvez Y esta pendeja si cree que puede llegar a ser presidenta??? ,0
"@lopezdoriga @XochitlGalvez Xochitl eres una mentirosa, solo te digo que nunca seras presidenta de Mexico,  mejor dedicate a vender gelatinas no sirves para otra cosa como el espanoles de doriga",0
@MarkoCortes @XochitlGalvez Dios quiera y esta no llegue a ser presidenta,0
@AngelNa03851722 @XochitlGalvez TE GARANTIZO QUE XOCHITL JAMAS SERA PRESIDENTA.,0
"@XochitlGalvez Tu no tienes ninguna posibilidad. 
Eres corrupta, no puedes ni debes ser presidenta , JAMAS",0
@XochitlGalvez Ya con corruptos ni a la esquina... la Galvez no sera presidenta!! https://t.co/nuJGfZ3cxJ,0
@XochitlGalvez Nunca sera presidenta de Mexico https://t.co/UNM2vGgzLW,0
@XochitlGalvez Ella no sera presidenta!,0
@ryo_hermoso @XochitlGalvez @BeatrizParedes La numero 2 no kiero tener una presidenta corrupta con familia en la carcel acusada de secuestro,0
"@XochitlGalvez No mas delincuentes que llegan a ser presidentes..
 La Galvez no sera presidenta https://t.co/aITthGPG27",0
"@XochitlGalvez Mexico no merece mas presidentes delincuentes, Galvez no sera presidenta https://t.co/NBL3q5kb9q",0
"@FreddyOliviery @XochitlGalvez ESA AMUJER ES UNA BASCA UNA CALABAZA,UN ESTIERCOL  ES UNA CORRUPTA LO BUENO DE ESTO ES QUE NUNCA SERA PRESIDENTA",0
@XochitlGalvez Nunca pero nunca seras Presidenta botarga no sabes ni hablar no sabes nada !!!!!,0
@XochitlGalvez Nunca seras presidenta mi querida hammster dientes chuecos  https://t.co/UJJkX3o6PB,0
"@XochitlGalvez Entiende Xochi , tu producto del Mkt  y de la casualidad  NO SERAS PRESIDENTA de este pais.
#MexicoMereceMas",0
@JJDiazMachuca @XochitlGalvez @MarkoCortes @alitomorenoc ESA BOTARGA ESPURIA RIDICULA NO SERA PRESIDENTA,0
@XochitlGalvez Que presidenta tan loca tendriamos ,0
